Topics,congress,date,track,sponsor,party,state,topic
41,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Regulations
42,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Military
43,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Education
44,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Military
45,115th,2017-01-03,Introduced,"Goodlatte, Bob ",R,VA,Regulations
46,115th,2017-01-03,Became Law,"Katko, John ",R,NY,Natural Resources
47,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
48,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Diplomacy
49,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
50,115th,2017-01-03,Passed House,"Foxx, Virginia ",R,NC,Regulations
51,115th,2017-01-03,Introduced,"Scott, David ",D,GA,Education
52,115th,2017-01-03,Introduced,"Scott, David ",D,GA,Education
53,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
54,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Border
55,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Education
56,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Education
57,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
58,115th,2017-01-03,Passed House,"Lee, Sheila ",D,TX,Border
59,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Border
60,115th,2017-01-03,Introduced,"Denham, Jeff ",R,CA,Border
61,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
62,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
63,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Military
64,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
65,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Civil Law
66,115th,2017-01-03,Passed House,"Davis, Rodney ",R,IL,Regulations
67,115th,2017-01-03,Introduced,"Lee, Sheila ",D,TX,Tax Code
68,115th,2017-01-03,Passed House,"Lee, Sheila ",D,TX,Education
69,115th,2017-01-03,Passed House,"Blum, Rod ",R,IA,Regulations
70,115th,2017-01-03,Passed House,"Clay, Wm. Lacy ",D,MO,Regulations
71,115th,2017-01-03,Passed House,"Walberg, Tim ",R,MI,Regulations
72,115th,2017-01-03,Became Law,"Carter, Earl L. ",R,GA,Regulations
73,115th,2017-01-03,Passed House,"Duncan, John J.",R,TN,Regulations
74,115th,2017-01-03,Introduced,"Marino, Tom ",R,PA,Regulations
75,115th,2017-01-03,Introduced,"Ratcliffe, John ",R,TX,Regulations
76,115th,2017-01-03,Introduced,"Ratcliffe, John ",R,TX,Regulations
77,115th,2017-01-03,Introduced,"Luetkemeyer, Blaine ",R,MO,Regulations
78,115th,2017-01-03,Passed House,"Wagner, Ann ",R,MO,Regulations
79,115th,2017-01-03,Passed House,"Chabot, Steve ",R,OH,Small Business
80,115th,2017-01-03,Introduced,"Babin, Brian ",R,TX,Border
81,115th,2017-01-03,Introduced,"Babin, Brian ",R,TX,Border
82,115th,2017-01-03,Introduced,"Babin, Brian ",R,TX,Border
83,115th,2017-01-03,Introduced,"Barletta, Lou ",R,PA,Border
84,115th,2017-01-03,Introduced,"Biggs, Andy ",R,AZ,Civil Law
85,115th,2017-01-03,Introduced,"Blackburn, Marsha ",R,TN,Budget
86,115th,2017-01-03,Introduced,"Blackburn, Marsha ",R,TN,Budget
87,115th,2017-01-03,Introduced,"Blackburn, Marsha ",R,TN,Budget
88,115th,2017-01-03,Resolving Differences,"Blackburn, Marsha ",R,TN,Tax Code
89,115th,2017-01-03,Introduced,"Blackburn, Marsha ",R,TN,Natural Resources
90,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Health Care
91,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
92,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Health Care
93,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
94,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
95,115th,2017-01-03,Passed House,"Brownley, Julia ",D,CA,Health Care
96,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Infrastructure
97,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Border
98,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Tax Code
99,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Civil Law
100,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Infrastructure
101,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
102,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Health Care
103,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Health Care
104,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
105,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
106,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
107,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Military
108,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Tax Code
109,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Tax Code
110,115th,2017-01-03,Introduced,"Brownley, Julia ",D,CA,Tax Code
111,115th,2017-01-03,Introduced,"Buchanan, Vern ",R,FL,Tax Code
112,115th,2017-01-03,Introduced,"Buchanan, Vern ",R,FL,Tax Code
113,115th,2017-01-03,Introduced,"Buchanan, Vern ",R,FL,Chemical Substances
114,115th,2017-01-03,Introduced,"Buchanan, Vern ",R,FL,Border
115,115th,2017-01-03,Passed House,"Buchanan, Vern ",R,FL,Civil Law
116,115th,2017-01-03,Introduced,"Buchanan, Vern ",R,FL,Tax Code
117,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Chemical Substances
118,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Health Care
119,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Chemical Substances
120,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Border
121,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Budget
122,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Labor / Immigration
123,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Small Business
124,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Civil Law
125,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Small Business
126,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Education
127,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Tax Code
128,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Regulations
129,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Infrastructure
130,115th,2017-01-03,Introduced,"Cole, Tom ",R,OK,Natural Resources
131,115th,2017-01-03,Introduced,"Cole, Tom ",R,OK,Natural Resources
132,115th,2017-01-03,Passed House,"Cole, Tom ",R,OK,Natural Resources
133,115th,2017-01-03,Introduced,"Cole, Tom ",R,OK,Tax Code
134,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Tax Code
135,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Regulations
136,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Civil Law
137,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Tax Code
138,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Labor / Immigration
139,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Labor / Immigration
140,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Border
141,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Tax Code
142,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Civil Law
143,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Labor / Immigration
144,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Civil Law
145,115th,2017-01-03,Introduced,"Fitzpatrick, Brian K. ",R,PA,Elections
146,115th,2017-01-03,Passed House,"Fleischmann, Charles J. ",R,TN,Natural Resources
147,115th,2017-01-03,Introduced,"Franks, Trent ",R,AZ,Diplomacy
148,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Health Care
149,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Budget
150,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Civil Law
151,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Elections
152,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Diplomacy
153,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Diplomacy
154,115th,2017-01-03,Introduced,"Green, Al ",D,TX,Military
155,115th,2017-01-03,Introduced,"Green, Gene ",D,TX,Labor / Immigration
156,115th,2017-01-03,Introduced,"Green, Gene ",D,TX,Labor / Immigration
157,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Diplomacy
158,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Civil Law
159,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Education
160,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Education
161,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Education
162,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Education
163,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Civil Law
164,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Health Care
165,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Health Care
166,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Health Care
167,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Tax Code
168,115th,2017-01-03,Introduced,"Hastings, Alcee L. ",D,FL,Tax Code
169,115th,2017-01-03,Introduced,"Huffman, Jared ",D,CA,Natural Resources
170,115th,2017-01-03,Introduced,"Issa, Darrell E. ",R,CA,Labor / Immigration
171,115th,2017-01-03,Introduced,"Jones, Walter B.",R,NC,Military
172,115th,2017-01-03,Introduced,"Jones, Walter B.",R,NC,Tax Code
173,115th,2017-01-03,Introduced,"Kelly, Mike ",R,PA,Labor / Immigration
174,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Civil Law
175,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Health Care
176,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Labor / Immigration
177,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Civil Law
178,115th,2017-01-03,Introduced,"King, Steve ",R,IA,Border
179,115th,2017-01-03,Introduced,"Kinley, David B. ",R,WV,Tax Code
180,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Health Care
181,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Tax Code
182,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Chemical Substances
183,115th,2017-01-03,Introduced,"Mullin, Markwayne ",R,OK,Natural Resources
184,115th,2017-01-03,Passed House,"Paulsen, Erik ",R,MN,Tax Code
185,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Tax Code
186,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Education
187,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Border
188,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Chemical Substances
189,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Tax Code
190,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Tax Code
191,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Tax Code
192,115th,2017-01-03,Introduced,"Plaskett, Stacey E. ",D,VI,Chemical Substances
193,115th,2017-01-03,Introduced,"Rogers, Mike D. ",R,AL,Diplomacy
194,115th,2017-01-03,Became Law,"Russell, Steve ",R,OK,Regulations
195,115th,2017-01-03,Became Law,"Russell, Steve ",R,OK,Budget
196,115th,2017-01-03,Introduced,"Simpson, Michael K. ",R,ID,Civil Law
197,115th,2017-01-03,Introduced,"Simpson, Michael K. ",R,ID,Civil Law
198,115th,2017-01-03,Introduced,"Thornberry, Mac ",R,TX,Tax Code
199,115th,2017-01-03,Introduced,"Vargas, Juan ",D,CA,Natural Resources
200,115th,2017-01-03,Passed House,"Young, Don ",R,AK,Natural Resources
201,115th,2017-01-03,Introduced,"Velazquez, Nydia M. ",D,NY,Tax Code
202,115th,2017-01-03,Introduced,"Velazquez, Nydia M. ",D,NY,Budget
203,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Education
204,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Chemical Substances
205,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Chemical Substances
206,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
207,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Small Business
208,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Labor / Immigration
209,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Chemical Substances
211,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
212,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
213,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
214,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Regulations
215,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
216,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Budget
217,115th,2017-01-03,Introduced,"Black, Diane ",R,TN,Health Care
218,115th,2017-01-03,Passed House,"Young, Don ",R,AK,Natural Resources
219,115th,2017-01-03,Became Law,"Young, Don ",R,AK,Natural Resources
220,115th,2017-01-03,Became Law,"Young, Don ",R,AK,Natural Resources
221,115th,2017-01-03,Passed House,"Young, Don ",R,AK,Natural Resources
222,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
223,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
224,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
225,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
226,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
227,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
228,115th,2017-01-03,Became Law,"Young, Don ",R,AK,Regulations
229,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
230,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
231,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
232,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
233,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Infrastructure
234,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
235,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Budget
236,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
237,115th,2017-01-03,Introduced,"Young, Don ",R,AK,Natural Resources
238,115th,2017-01-04,Passed House,"Conaway, K. Michael ",R,TX,Small Business
239,115th,2017-01-04,Passed House,"Ratcliffe, John ",R,TX,Infrastructure
240,115th,2017-01-04,Passed House,"Ratcliffe, John ",R,TX,Infrastructure
241,115th,2017-01-04,Introduced,"Poe, Ted ",R,TX,Border
242,115th,2017-01-04,Introduced,"Welch, Peter ",D,VT,Chemical Substances
243,115th,2017-01-04,Introduced,"Amodei, Mark E. ",R,NV,Natural Resources
244,115th,2017-01-04,Became Law,"Cook, Paul ",R,CA,Budget
245,115th,2017-01-04,Introduced,"Cook, Paul ",R,CA,Education
246,115th,2017-01-04,Introduced,"Noem, Kristi L. ",R,SD,Diplomacy
247,115th,2017-01-04,Introduced,"Brat, Dave ",R,VA,Tax Code
248,115th,2017-01-04,Introduced,"Amash, Justin ",R,MI,Border
249,115th,2017-01-04,Introduced,"Babin, Brian ",R,TX,Diplomacy
250,115th,2017-01-04,Introduced,"Biggs, Andy ",R,AZ,Civil Law
251,115th,2017-01-04,Introduced,"Brownley, Julia ",D,CA,Education
252,115th,2017-01-04,Introduced,"Green, Al ",D,TX,Budget
253,115th,2017-01-04,Introduced,"Buchanan, Vern ",R,FL,Health Care
254,115th,2017-01-04,Introduced,"Davis, Danny K. ",D,IL,Education
255,115th,2017-01-04,Became Law,"Esty, Elizabeth H. ",D,CT,Diplomacy
256,115th,2017-01-04,Introduced,"Farenthold, Blake ",R,TX,Military
257,115th,2017-01-04,Introduced,"Franks, Trent ",R,AZ,Diplomacy
258,115th,2017-01-04,Introduced,"Gabbard, Tulsi ",D,HI,Border
259,115th,2017-01-04,Introduced,"Colon, Jenniffer ",R,Co,Chemical Substances
260,115th,2017-01-04,Introduced,"Colon, Jenniffer ",R,Co,Chemical Substances
261,115th,2017-01-04,Introduced,"Colon, Jenniffer ",R,Co,Chemical Substances
262,115th,2017-01-04,Introduced,"Green, Gene ",D,TX,Natural Resources
263,115th,2017-01-04,Introduced,"Lamborn, Doug ",R,CO,Diplomacy
264,115th,2017-01-04,Introduced,"Lamborn, Doug ",R,CO,Budget
265,115th,2017-01-04,Introduced,"Lance, Leonard ",R,NJ,Budget
266,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Education
267,115th,2017-01-04,Became Law,"Lewis, John ",D,GA,Natural Resources
268,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Infrastructure
269,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Health Care
270,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Infrastructure
271,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Tax Code
272,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Education
273,115th,2017-01-04,Introduced,"Lewis, John ",D,GA,Tax Code
274,115th,2017-01-04,Became Law,"Moulton, Seth ",D,MA,Regulations
275,115th,2017-01-04,Introduced,"Perry, Scott ",R,PA,Civil Law
276,115th,2017-01-04,Passed House,"Radewagen, Aumua Amata Coleman ",R,AS,Chemical Substances
277,115th,2017-01-04,Introduced,"Roe, David P. ",R,TN,Labor / Immigration
278,115th,2017-01-04,Introduced,"Ross, Dennis A. ",R,FL,Border
279,115th,2017-01-04,Introduced,"Stefanik, Elise M. ",R,NY,Military
280,115th,2017-01-04,Introduced,"Stefanik, Elise M. ",R,NY,Infrastructure
281,115th,2017-01-04,Introduced,"Stefanik, Elise M. ",R,NY,Labor / Immigration
282,115th,2017-01-04,Passed House,"Stefanik, Elise M. ",R,NY,Tax Code
283,115th,2017-01-04,Introduced,"Stefanik, Elise M. ",R,NY,Tax Code
284,115th,2017-01-04,Introduced,"Stefanik, Elise M. ",R,NY,Health Care
285,115th,2017-01-04,Introduced,"Turner, Michael R. ",R,OH,Tax Code
286,115th,2017-01-04,Introduced,"Turner, Michael R. ",R,OH,Health Care
287,115th,2017-01-04,Introduced,"Turner, Michael R. ",R,OH,Education
288,115th,2017-01-04,Passed House,"Walden, Greg ",R,OR,Regulations
289,115th,2017-01-04,Passed House,"Malfa, Doug ",R,CA,Natural Resources
290,115th,2017-01-04,Passed House,"Walden, Greg ",R,OR,Regulations
291,115th,2017-01-04,Introduced,"Yoho, Ted S. ",R,FL,Tax Code
292,115th,2017-01-04,Introduced,"Young, Don ",R,AK,Budget
293,115th,2017-01-04,Introduced,"Young, Don ",R,AK,Military
294,115th,2017-01-05,Became Law,"Olson, Pete ",R,TX,Natural Resources
295,115th,2017-01-05,Introduced,"Calvert, Ken ",R,CA,Military
296,115th,2017-01-05,Introduced,"Chaffetz, Jason ",R,UT,Tax Code
297,115th,2017-01-05,Introduced,"Chaffetz, Jason ",R,UT,Budget
298,115th,2017-01-05,Introduced,"Chaffetz, Jason ",R,UT,Small Business
299,115th,2017-01-05,Passed House,"Valadao, David G. ",R,CA,Military
300,115th,2017-01-05,Introduced,"Young, David ",R,IA,Civil Law
301,115th,2017-01-05,Introduced,"Cartwright, Matt ",D,PA,Infrastructure
302,115th,2017-01-05,Became Law,"Guthrie, Brett ",R,KY,Infrastructure
303,115th,2017-01-05,Introduced,"Bilirakis, Gus M. ",R,FL,Military
304,115th,2017-01-05,Became Law,"Hudson, Richard ",R,NC,Health Care
305,115th,2017-01-05,Introduced,"Eshoo, Anna G. ",D,CA,Regulations
306,115th,2017-01-05,Passed House,"Eshoo, Anna G. ",D,CA,Infrastructure
307,115th,2017-01-05,Introduced,"Davidson, Warren ",R,OH,Military
308,115th,2017-01-05,Introduced,"Davidson, Warren ",R,OH,Tax Code
309,115th,2017-01-05,Passed House,"Olson, Pete ",R,TX,Health Care
310,115th,2017-01-05,Introduced,"Fazio, Peter A. ",D,OR,Natural Resources
311,115th,2017-01-05,Introduced,"Gohmert, Louie ",R,TX,Diplomacy
312,115th,2017-01-05,Introduced,"Bonamici, Suzanne ",D,OR,Infrastructure
313,115th,2017-01-05,Introduced,"Blackburn, Marsha ",R,TN,Tax Code
314,115th,2017-01-05,Introduced,"Blackburn, Marsha ",R,TN,Labor / Immigration
315,115th,2017-01-05,Became Law,"Burgess, Michael C. ",R,TX,Health Care
316,115th,2017-01-05,Introduced,"Capuano, Michael E. ",D,MA,Small Business
317,115th,2017-01-05,Introduced,"Capuano, Michael E. ",D,MA,Small Business
318,115th,2017-01-05,Introduced,"Capuano, Michael E. ",D,MA,Small Business
319,115th,2017-01-05,Introduced,"Capuano, Michael E. ",D,MA,Elections
320,115th,2017-01-05,Introduced,"Capuano, Michael E. ",D,MA,Civil Law
321,115th,2017-01-05,Became Law,"Comstock, Barbara ",R,VA,Infrastructure
322,115th,2017-01-05,Introduced,"Santis, Ron ",R,FL,Tax Code
323,115th,2017-01-05,Introduced,"Griffith, H. Morgan ",R,VA,Labor / Immigration
324,115th,2017-01-05,Introduced,"Kennedy, Joseph P.",D,MA,Health Care
325,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Health Care
326,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Infrastructure
327,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Diplomacy
328,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Tax Code
329,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Tax Code
330,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Border
331,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Chemical Substances
332,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Diplomacy
333,115th,2017-01-05,Introduced,"Bishop, Sanford D.",D,GA,Military
334,115th,2017-01-05,Introduced,"Lee, Barbara ",D,CA,Health Care
335,115th,2017-01-05,Introduced,"Lewis, John ",D,GA,Tax Code
336,115th,2017-01-05,Introduced,"Meadows, Mark ",R,NC,Infrastructure
337,115th,2017-01-05,Passed House,"Noem, Kristi L. ",R,SD,Natural Resources
338,115th,2017-01-05,Passed House,"Rush, Bobby L. ",D,IL,Education
339,115th,2017-01-05,Became Law,"Sablan, Gregorio Kilili Camacho ",D,MP,Chemical Substances
340,115th,2017-01-05,Introduced,"Serrano, Jose E. ",D,NY,Tax Code
341,115th,2017-01-05,Introduced,"Serrano, Jose E. ",D,NY,Tax Code
342,115th,2017-01-05,Introduced,"Sinema, Kyrsten ",D,AZ,Tax Code
343,115th,2017-01-05,Introduced,"Sires, Albio ",D,NJ,Infrastructure
344,115th,2017-01-05,Introduced,"Stefanik, Elise M. ",R,NY,Natural Resources
345,115th,2017-01-05,Introduced,"Trott, David A. ",R,MI,Regulations
346,115th,2017-01-05,Introduced,"Trott, David A. ",R,MI,Regulations
347,115th,2017-01-05,Passed House,"Coleman, Bonnie ",D,NJ,Border
348,115th,2017-01-05,Introduced,"Young, Don ",R,AK,Small Business
349,115th,2017-01-05,Introduced,"Lipinski, Daniel ",D,IL,Border
350,115th,2017-01-06,Introduced,"Henry, Patrick T. ",R,NC,Chemical Substances
351,115th,2017-01-06,Introduced,"Sanford, Mark ",R,SC,Border
352,115th,2017-01-06,Introduced,"Rokita, Todd ",R,IN,Health Care
353,115th,2017-01-06,Became Law,"Lucas, Frank D. ",R,OK,Infrastructure
354,115th,2017-01-06,Introduced,"Black, Diane ",R,TN,Health Care
355,115th,2017-01-06,Introduced,"Wilson, Joe ",R,SC,Labor / Immigration
356,115th,2017-01-06,Introduced,"Swalwell, Eric ",D,CA,Regulations
357,115th,2017-01-06,Introduced,"Bustos, Cheri ",D,IL,Infrastructure
358,115th,2017-01-06,Introduced,"Griffith, H. Morgan ",R,VA,Civil Law
359,115th,2017-01-06,Introduced,"Griffith, H. Morgan ",R,VA,Regulations
360,115th,2017-01-06,Introduced,"Grijalva, Raul M. ",D,AZ,Natural Resources
361,115th,2017-01-06,Introduced,"King, Steve ",R,IA,Civil Law
362,115th,2017-01-06,Introduced,"Sally, Martha ",R,AZ,Natural Resources
363,115th,2017-01-06,Introduced,"Messer, Luke ",R,IN,Tax Code
364,115th,2017-01-06,Introduced,"Mullin, Markwayne ",R,OK,Infrastructure
365,115th,2017-01-06,Introduced,"Paulsen, Erik ",R,MN,Tax Code
366,115th,2017-01-06,Became Law,"Perry, Scott ",R,PA,Infrastructure
367,115th,2017-01-09,Introduced,"Duncan, Jeff ",R,SC,Tax Code
